reviewer_id	review	rating
61	"The manager IS RUDE at 13749 183 research Blvd.in north Austin TX. HAD TO GO BACK INTO THE  DINER  3 TIMES AND THE 3RD TIME THE MANAGER DIDNT EVEN ACKOWLEDGE WE WERE EVEN THERE.. DISCRIPTION OF SAID MANAGER SPANISH ABOUT 5 FT TALL AND HAD LONG BLONDOISH HAIR PULLED BACK INTO A PONY TAIL. READ PREVIOUS REVIEWS AND THRY WERE NOT GOOD
NEED TO CHECK OUT WHAT IS GOING ON ."	1
62	Never would come back here again my mother was asking for a coke and the lady became rude and said to her coworker in Spanish omg this fat women it hurt me that she said that and we know what she said so teach your employees how to speck properly in front of people	1
63	"I placed an order... the young lady at the drive thru kept having issues getting the order correctly... I paid for my order... went to the second window.. was given a huge bag that almost broke through with stuff... I pulled up just a little bit to check my order:  noticed I was missing an item, fries, so I pulled around to let the lady at the first window know I                           m missing something... she just dismissed me to the 2nd window... and the 2 ladies at the second window weren                           t the best either.  When I stated I drove back around because I was missing my fries.. I didn                           t realize my receipt was in the bag to confirm my order.. found it and gave it to one of the ladies... the second lady, I                           m guessing to be heard due to my inconvenience of my order not being correct, for her to take ownership for what possibly could of went wrong and show some compassion instead of being kind of prude ... after I received the fries the manager dismissed me with a condescending         "	2
64	"Never gotten my order wrong, employees seem to change a lot but they're consistently quick and nice. Also the prices here are lower than other locations, I don't know why but its a total welcome change haha."	5
65	They run out of fry containers and constantly forget sauces. The dining room is still closed for some reason so have fun getting back in line for a sauce. Sometimes the fries aren't great which is a huge part of McDonald's. Come on guys...	3
66	They get an extra  because their staff 8 of 10 have been polite. Drive through has issues. They constantly get order wrong. Ask you to pull forward to fix and leave you hanging. I have had to go in twice to see why I am still sitting after five minutes. They are new. I understand training new people. But when you place an order and they repeat it back correctly and it comes out wrong or you have to repeat 3 times to make sure they get it right. Someone inside needs to make sure they are reading the whole ticket. Not just a quarter pounder. Especially with the multi menu choice of adding bacon or lettuce and tomatoes. Their tea as of late has tasted like dish soap and their fountain drinks have a funky taste to them. Numerous times their fries have been under cooked.	2
67	Got Wrong order         	1
68	"McDonald's is usually pretty bad about inventory shorts especially.
The BBQ sauce, it's just a conspiracy but if you ever been a lover of Mcys Nuggets then you know they tend to ""Forget"" the BBQ sauce. Any other sauce and it's in there. But overall I dont see my self going back anytime soon."	2
69	"So Uber eats was having connectivity issues and pushed an order through to this location that was supposed to be cancelled. I know this isnt McDonald's fault, but when I called McDonalds to try and address the issue, they answered and then ignored me and must have left their phone off the hook because any attempt to call them after this got me only dial tone. I know places are short staffed, but you cant just ignore people."	1
70	"If I paid for a large-sized meal, and I asked for both a large fry and a large drink, please don't argue with me that the ticket says medium drink. Thank you so much from a single parent who just wanted to spend a little bit of money on unhealthy food for wasting my hard-earned money."	1
71	Customer  service  is no good the staff  play games  as if I'm there to pay my money  to see them horsing around. And the the management  are a jock don't answer  the phone . to night is September 29 2021 at 10:30pm my next  visit to Austin will not be to a McDonald's...	1
72	"My nuggets were way to salty and crunchy which means to had been sitting there a while, cashier cut me off in the middle of my order but was nice and polite when I addressed it and fries where kinda cold but another then good place to get food at an affordable price"	3
73	"Alright I know it was 5:25 in the morning when we came here and the worker was probably tired as hell. I will give him that for sure, but it was just odd pulling up to the machine and total silence. we had to say ""hello?"" before he came on and asked what we wanted. Was seemingly rude about it and not amazingly friendly. You do not have to sound peppy and full of life at 5am, but at least be nice.."	3
74	"waited in the drive through for over half an hour, all i got for my trouble was a ""sorry for the wait"" not even an explanation. When I got to the second window there were at least a dozen sodas just sitting on the counter. It's not the first time I've had bad service. I once pulled up and they just said we're not serving right now even though it was smack dab in the middle of the day hours."	1
75	"When you specifically say,                            plain AND dry                            and then just to make sure they understood (cuz let                           s face it, it                           s MacDonalds) you add -                            so nothing but the meat and buns                           . Then you get home, open the bag, and immediately see the cheese through the hamburger wrapper.... I mean for cryin"	1
76	"Buyer beware. Yeah it                           s fast food and cheap. However, if you love to be consistently let down, this particular location is the place to frequent. This location loves to give you incorrect items and 100% of the time your order will be missing something.

Please be sure to check your order prior to leaving the premises. Do note that it takes forever to get them to correct their mistakes, so do take into consideration that the rest of your food will be cold and soggy by the time"	1
77	"Service is slow, but I get all of my items with no errors and it's a bit smaller than most locations. Overall, it's a good place to grab a quick bite near Lake Creek."	4
78	"The cashier's are very nice. Its very clean on the inside, and they get your food done fast"	5
79	Manager waited on me. He went out of his way to make me a satisfied customer.  Great customer service!	4
80	2:42 AM on a Saturday and they just straight up stopped answering the drive through. They just sitting in there chilling	1
81	"I would have given 5, the evening manager is the nicest person I have seen and is definitely in charge of training her crew with constantly new help, in spite of this, everytime I have to return an order she goes back to the kitchen and patiently disassembles the sandwich and explains the proper way to make the sandwich in a spirit of education and with a cherry disposition. You can tell the children she works with respect her and look up to her, and yes, they might get things confused occasionally but I will continue to go there. 4 out of 5"	4
82	"The staff is very kind and the food is usually prepared in a timely manner, for this reason it'sone of my preferred location's. However the drive thru line can sometimes be an inconvenience as it can get very long and at times even block entrances."	4
83	"Awful experience. Drive thru attendants are rude, untrained, and unprofessional. When asked for a manager the attendants lie and say that there isn't one on duty, FYI impossible for every shift not to have a manager. One specific attendant screamed and cursed at me, to which led me to contact corporate."	1
84	"Decent McDonald's location.  The team here has always been friendly.  Drive thru can get pretty backed up during normal meal periods, so often it is better to go inside.  Make sure you go close to regular meal periods for fresher food vs the ones under the heat lamp for a while.    Store is always clean."	3
85	"Hashbrowns were fire today.

Frappes always on point and the machine is always working.

Always get me to work on time with fast workers"	5
86	"When I order during the day, I have zero issues. They are listed as a 24 hour location, so they show up on Uber Eats late at night. Anytime I order after midnight, they will accept my order through UE and then sit around for an hour before cancelling it. I don't understand why you list yourselves as a 24 hour location if you cancel any orders after midnight. Other than that, this place has always given great service."	3
87	I ordered 4 happy meals with plain cheeseburgers. All the burgers were wrong. Do you know what it                           s like to have four grandkids that can 	1
88	McDonalds is NOT a fast food company anymore. They're just a food company now. Always a line wrapped around the building that never moves. When are robots going to replace the kitchen staff who hate their jobs?	1
89	This McDonalds CONSTANTLY gets orders wrong. We have ordered at the window and over uber and EVERY SINGLE TIME we dont get a complete order. Today we went back to get our fry we had 3 chicken sandwiches and 2 fry not complicated at all. The manager gave us a new one but the girl at the oick up window shoved the bag in ny hands and when I tha ked her she made a rude face and turned away.	1
90	"Night time drive through team seem really unprofessional. I ordered a meal with an extra fry, but when I got to the food window, was only given the fry with the meal. I mentioned the extra fry and was told I only paid for 1 fry. I offered to pay the difference for the extra fry, but was told I needed to drive back around and order again. Seriously? That's the response? Will not be returning."	1
91	"This is the 3rd time in a row that we                           ve been burned going through the drive threw. Each time they have messed up our order and you                           d think by now that I would have learned my lesson, but I thought this would be quick and easy. NOPE! This location sucks. I tried calling the number in the receipt but no one answers. I know I can            "	1
92	"Worst experience! All I asked for was a regular size coffee.I get to the window and was handed a small , I asked the woman if that was a regular to which she rudely said yes I questioned her again two more times then I asked her how many sizes of coffee they had she said small medium and large I asked her which one was the one I was holding and she said it's a small that's what we charged you for she said, and I told her I asked for a regular which would be a medium but I just drove off. Also asked for 3plendas and 4 creamers on the side and received 3 regular sugars and 2 creamers. To top it off, coffee was full of coffee grounds to the point I was spitting them out. And as a little plus there was a piece of plastic! Never again!"	1
93	"Attempted to go through the drive thru at 430 am. It said it was 24 hour, however no one seemed to be taking orders and I drove around twice just in case and tried again but still no answer. I saw one employee in the kitchen but couldn't get his attention.   Very bad business. If closed or delayed in opening then at least a sign that indicates that would have been nice."	1
94	"This place is okay. It has these kiosks where you order, take a number, and they bring the food to your table. I ordered a frozen lemonade, paid for it, then sat down. I was there for a bit before someone came and told me they were out. I got a regular drink instead but it was too much trouble to get a refund for the difference. I'm not sure I like this new way."	3
95	"My burger was completely raw in the middle and when I took the burger back in to get it remade the lady behind the counter treated me like I was some stuck up brat for not wanting to eat a raw burger.
If I had the ability to give them a zero  rating I would. I WILL NEVER EAT HERE AGAIN!!!"	1
96	"If I could give negative s I would. This location is the absolute worst ever.  Every single time I go they f up my order! Then give attitude when they need to correct their mistakes.  I Try to give the benefit of the doubt everyone has off/bad days so I return thinking this time will be different, but it never is. They always suck. The staff is horrible. Corporate needs to send all their staff over to a week of training at chic-fil-A college to learn about work ethic, time management ,teamwork and basic manors.
I am baffled how chic-fil-a can have 30 cars in drive thru and get my order right the first time and under 5 mins. But at McDonald                           s there could be 3 cars and it still takes 30 mins and 3+ tries to get my order right! makes no logical sense.
Moral of rant save your time and money and drive around the corner to chic-fil-a they got your"	1
97	"When ordering food the employees conveniently forgot to turn off their microphones and were talking mess about all the food we had ordered, this is very unprofessional and honestly uncalled for. When I asked for a receipt they said it was in the bad and it was convenient not in there. I                           ve trying to get ahold of management to speak ab"	1
98	"I don                           t usually review places but this location has ridiculously rude service and consistently gets the orders wrong. Even when not busy. If I were rude, I                        "	1
99	Allways has the best Fries and Ice cream in the world!	5
100	Mcdonalds is great but they really need to hire people who understand both english and spanish and not just spanish speakers trying to take english orders. The people are really nice but be smarter about who you put in the drive thru and lobby to take orders.	4
101	I love going to McDonald's in that area because that's where I get most of my food for my family and my grandchildren and they love me when I bring stuff to him like every couple days so it's great to go to that McDonald's McDonald's is a good spot for taking my grandkids and buy him food there are the greatest thing that they're right off of lake Creek thank you for putting it there	5
102	I work for Doordash and when I go to pick up orders at night I spend 20 minutes of my time just waiting in the drive thru line. There has to be a easier way for this to get done.	3
103	"Horrible customer service always gets my order wrong. They were out of French fries so I said that's fine I can wait while you make more. ""We can't do that"" seriously what kind of fast food place can't make fries? It only takes two minutes and 15 to heat up even the worst fryer. Which I would have waited for. Is this not the money making industry?

My business is now sitting at Whataburger who also doesn't have fries ready but said I could have some fresh in two minutes."	1
104	The most horrible service yet.  Drive thru can't get a dam thing right at all has no interest in his voice. I have to continue to repeat myself for you to still get it wrong. Then when I went through drive threw they still can't follow directions. So sad.	1
105	"I hate the new self ordering touchscreens. It can be hard to order even the simplest items.  Staff seemed preoccupied, did not even get my order correct. I had to ask for my parfait. Sweet tea was empty."	1
106	"Nothing! Staff was rude. No napkins out, tables were dirty. My son and I went in at 1050 to get lunch before a movie knowing lunch ts at 1030. They apparently don't serve lunch until 11. When I asked why she said because people like late breakfast on weekends. Why that affects lunch I don't know. According to the sign, breakfast is served all day. Had I read the reviews first I would have gone to the one across the highway."	1
107	"Your general fast food place with subpar service. Went here one morning to get a quick breakfast because we had no time for our usual Saturday morning spot. We ordered several different breakfast items and at the end my wife went to order a single order of three pancakes and sausage breakfast for one of the kids. At checkout it seemed expensive at first, the cashier never repeated the order back to us. When we received our order, we figured out why. She put us down for three total three pancakes and sausage breakfasts. When my wife brought it up the girl behind the register just said ""oops, sorry"" and walked away, no offer to fix it or give a refund. Great job."	1
108	Let                           s just say this place would be a lot better if they had a different crew member. There is a orange red hair lady names Veronica who does the window mostly and she ALWAYS has a attitude. If you don                           t want to work at McDonalds then gone because their are people who take customer service 	1
109	"I didn't used to mind this McD's.  I was happy there was an option for 24-hr food in case I wanted something on the way home from a night out with friends or just late-night munchies.  During the day, it's a pretty average McD's.  But they lost my business forever when I went by one night at 1am, pulled up to the order box, waited for five minutes, then finally someone came over the speaker and said ""Sorry we're closed"".

Closed?!  It's 24-hrs!  And I get it, sometimes 24-hr places will close one night every several months to do a deep cleaning.  I get that, I really do.  But they ALWAYS post signs and notices so you're not blind-sided by it.  Not this place.  I really don't think they were closed.  I think the workers were too lazy to do their job and decided to shut the store down so they could get paid to do nothing.

Additionally, this store has a bad habit of having a ""broken"" ice cream machine past 10pm.  It's always ""sorry, ice cream machine is broken"" if you come in after the lobby closes.

The worst part is I complained on the website.  I submitted a complaint for this store, pointing out the 24-hr and the ice cream issue.  All I got back (weeks later) was ""oh, sorry the ice cream machine was broken, we're working to upgrade all our locations but it takes time""  Not even a single MENTION of the ""closed"" 24-hr location.

As I said, it's a pretty standard McD's... which is synonymous with lazy, but this one takes the cake on it."	1
110	Very stringent on providing Ketchup. Last 3-5 visits I                           ve been given only 1	2
111	They tried to charge me for a piece of egg when I asked for a bacon egg and cheese McGriddle through the drive thru. I went inside and the manager tried to charge me when her employee never confirmed my order. All I said was sub bacon instead of the sausage and somehow the egg got taken off? I don                    	1
112	Love the price  French fries	5
113	We went through the drive-through and ordered 2 bacon-cheese burgers and 2 big Mac's and we asked for them to leave the middle part (the bread in the center). We got the bacon-cheese burgers and they were fine. But the big Mac's not only still had the bread in the center but had another piece of bread on the bottom with mac-sause on them. So instead of 2 pieces of meat and 2 pieces of bread I ended with 2 pieces of meat and 4 pieces of bread. I was not amused when I got home. You can bet that I will NOT EVER stop there again.	2
114	I was very surprised to have come to this McDonalds while working this side of town .. Coffee was like drinking a cup of  hot water.. wow McDonalds has been known for its coffee. Not this one. Get a water instead.	1
115	Terrible service didn                           t even hand me my change would rather 	1
116	"Always busy, sort of slow (but not too slow). Dangerous intersection, when leaving the drive thru. The food the couple of times I have been here seemed old or dry, it wasn't bad, just not very good."	2
117	All that I had ordered was two McDoubles and large soda. Both burgers were not just pink but Red in the center. Was the last time I have even TRIED eating fast food altogether.	1
118	Food was good atmosphere was ok restaurant was clean. Only thing from making it a 5 I almost ate it on the floor. Wet sign was present but it was beyond slick. Otherwise good quick place to grab a bite.	4
119	"I am very dissatisfied with the service at this location. I asked for a #1 which is a big Mac instead they charged me for a quarter pounder. My son ordered a cheeseburger happy meal , he wanted the burger with mud, onions, and pickles. My son was so upset and he refused to eat his food . The burger that I got slopply made and the meat was half way hanging out of the burger and it was so bad that it was almost dry. My little boy was so upset that he doesn't want to here any more. From a very mad Mommy and a hurt little boy"	1
120	"Id only eat from here if there is no other option. Its on a good location since its kinda on my way from work to home. I finish work at 12am so i have literally no other option cause i am exhausted and not willing to drive further. Burgers are dry, patties are old, i got 4 nuggets instead of 6. In short, dont waste your money cook yourself at home."	2
121	"I work late nights so I come here after my shift which is well after midnight. It                           s rare I have a good experience when the overnight staff is running the show. Missing items, the quality of the food is just not good, clearly it                           s been sitting there for a while, and it just seems like they have difficulty getting my order. I get that it   "	2
122	"I found  pieces of hair in my food. I also had to  Pay for pancake syrup and ranch and when I open the bag they were already open and leaking into my bag.  When I called to make a complaint the manager   Did not answer it took 7 calls back-to-back an he was incredibly rude!  He told me that everyone there has passed their certification and if I don't like it I can go to the health department.  I have made a complaint with the  Texas health department. Floors are disgusting, bathrooms are disgusting!  This is the worst McDonald's I have ever been to in my life and I have traveled all over this country."	1
123	"Compared to other Macdonald's locations, this is consistently the best. Polite, fast and overwhelming accurate on the orders. I've been going to this location for a while, never had a bad experience at the drive thru. Great staff!"	5
124	One  because everytime I go early in the morning this lady is always so rude. Granted I know its early but if u can't handle being up this early then maybe you should consider getting a different job. It's not okay to be rude.	1
125	Asked me to wait at spot one. Asked for jelly and was completely ignored. Had to go inside to get it myself. Trash customer service. I blame management for not holding anyone accountable.	1
126	seriously I had asked specifically no onion on both of my steak bagels meals when I got to my house they both had onions. and I had asked for picante sauce and they didn't even put sauce  packets in my bag. it just sucks getting home and not being able to eat what you expected.	1
127	"The personal are really nice but everytime I go there, they almost mess my order. Sometimes I pay extra for my extra toppings and They forgot to add the topings  they made it just plain. And like in the bacon mcd double I always order  that one for my daughter with only mayo en they add mac sause and she is allergic to onions. And there is always something missing in my order.    "	1
128	"The inside smells like baby diapers. When you ask for extra sweet and sour sauce they give you a dirty look like it is such a hassle. The ice cream machine is always broken, and the food always looks like it was put together so carelessly. Guess you can't expect much from a McDonald's anyways."	1
129	"I like this location. It's my dogs favourite for unsalted fries, so I have to give them five s. Great crew - fast, well groomed, friendly."	5
130	They are always rude and get mad when they mess your order up I've never been to such a bad service place	1
131	One of the worst places I                           ve ever been to. Messed up almost every single item I ordered. Phone lines don  	1
132	"Seriously, what is the deal with not being able to brew fresh sweet tea? It's sad that you have to check your drinks before you leave the drive thru. It seems as if 3 time a week we get bad tea from this location. It's not like we can just leave work to go get a new one either. We send my hubby on a drink run in the morning and he constantly forgets to take the ""taste test"" before he leaves, but he should not have to!"	1
133	I tried the spices chicken nugget sauce for the first time. It was like a thick Tabasco and I liked it a lot more than I thought I would! I ate that instead of my burger.	3
134	"Literally the only thing they did not mess up was the drinks. The frys were old and barely filled halfway and we ordered a large, the only condiment we asked for was ketchup...didn         "	1
